log_file,profile_stage,label,H,W,K,seed,graded,table_stage,correct,time_ms,gflops,speedup,raw_instructions,raw_l1d_loads,raw_l1d_misses,raw_mpki,isolated_instructions,isolated_l1d_loads,isolated_l1d_misses,isolated_mpki,raw_elapsed_s,isolated_elapsed_s,isolation_note
profile_naive_n8combo_20260906_121645.log,naive,n8combo,512,512,3,1234,not graded,naive (ref),yes,1.022,4.62,1.00,278490924,56783492,549211,1.972097,278490924,56783492,549211,1.972097,0.014643,0.014643,baseline (dedicated naive run)
profile_naive_n8combo_20260906_121645.log,naive,n8combo,512,512,5,1234,not graded,naive (ref),yes,3.050,4.30,1.00,601553639,149091692,560303,0.931426,601553639,149091692,560303,0.931426,0.036723,0.036723,baseline (dedicated naive run)
profile_naive_n8combo_20260906_121645.log,naive,n8combo,1024,1024,3,1234,not graded,naive (ref),yes,4.447,4.24,1.00,1087588944,220339456,2140651,1.968254,1087588944,220339456,2140651,1.968254,0.056068,0.056068,baseline (dedicated naive run)
profile_naive_n8combo_20260906_121645.log,naive,n8combo,1024,1024,5,1234,not graded,naive (ref),yes,13.726,3.82,1.00,2380191527,589660167,2223300,0.934084,2380191527,589660167,2223300,0.934084,0.157320,0.157320,baseline (dedicated naive run)
profile_naive_n8combo_20260906_121645.log,naive,n8combo,2048,2048,3,1234,not graded,naive (ref),yes,22.286,3.39,1.00,4316227905,872280611,8641767,2.002157,4316227905,872280611,8641767,2.002157,0.263616,0.263616,baseline (dedicated naive run)
profile_naive_n8combo_20260906_121645.log,naive,n8combo,2048,2048,5,1234,not graded,naive (ref),yes,54.945,3.82,1.00,9486414542,2349447435,13492458,1.422293,9486414542,2349447435,13492458,1.422293,0.650540,0.650540,baseline (dedicated naive run)
profile_naive_n8combo_20260906_121645.log,naive,n8combo,4096,4096,3,1234,not graded,naive (ref),yes,87.020,3.47,1.00,17227392632,3479485120,56241129,3.264634,17227392632,3479485120,56241129,3.264634,1.022770,1.022770,baseline (dedicated naive run)
profile_naive_n8combo_20260906_121645.log,naive,n8combo,4096,4096,5,1234,not graded,naive (ref),yes,218.428,3.84,1.00,37905679948,9387518813,79867109,2.106996,37905679948,9387518813,79867109,2.106996,2.496753,2.496753,baseline (dedicated naive run)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,512,512,3,1234,not graded,naive (ref),yes,0.998,4.73,1.00,304505455,66258785,970008,3.185519,278490924,56783492,549211,1.972097,0.016550,0.014643,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,512,512,3,1234,not graded,optimized,yes,0.137,34.50,7.30,304505455,66258785,970008,3.185519,26014531,9475293,420797,16.175460,0.016550,0.001907,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,512,512,5,1234,not graded,naive (ref),yes,3.186,4.11,1.00,654908843,171705794,1027416,1.568792,601553639,149091692,560303,0.931426,0.041743,0.036723,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,512,512,5,1234,not graded,optimized,yes,0.340,38.50,9.36,654908843,171705794,1027416,1.568792,53355204,22614102,467113,8.754779,0.041743,0.005020,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,1024,1024,3,1234,not graded,naive (ref),yes,4.863,3.88,1.00,1192609240,258452786,5689128,4.770320,1087588944,220339456,2140651,1.968254,0.070474,0.056068,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,1024,1024,3,1234,not graded,optimized,yes,0.710,26.60,6.85,1192609240,258452786,5689128,4.770320,105020296,38113330,3548477,33.788488,0.070474,0.014406,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,1024,1024,5,1234,not graded,naive (ref),yes,13.873,3.78,1.00,2593923697,680181421,5399356,2.081540,2380191527,589660167,2223300,0.934084,0.178092,0.157320,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,1024,1024,5,1234,not graded,optimized,yes,1.603,32.70,8.65,2593923697,680181421,5399356,2.081540,213732170,90521254,3176056,14.859981,0.178092,0.020772,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,2048,2048,3,1234,not graded,naive (ref),yes,23.100,3.27,1.00,4735829536,1024630555,22805988,4.815627,4316227905,872280611,8641767,2.002157,0.322312,0.263616,substituted from dedicated naive baseline log
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,2048,2048,3,1234,not graded,optimized,yes,3.231,23.36,7.15,4735829536,1024630555,22805988,4.815627,419601631,152349944,14164221,33.756354,0.322312,0.058695,isolated (naive baseline subtracted)
profile_optimized_tileSize16SIMDbits128_20260906_145838.log,optimized,tileSize16SIMDbits128,2048,2048,5,1234,not graded,naive (ref),yes,56.847,3.69,1.00,10341538824,2711596801,26358185,2.548768,9486414542,2349447435,13492458,1.422293,0.728084,0.650540,substituted from dedicated naive baseline log
